Country,Year,Coal
Australia,1960,58.928112
Australia,1961,59.97478
Australia,1962,61.485584
Australia,1963,63.727952
Australia,1964,67.133213
Australia,1965,71.059616
Australia,1966,71.400368
Australia,1967,75.40512
Australia,1968,76.584928
Australia,1969,77.977248
Australia,1970,74.293082
Australia,1971,74.261952
Australia,1972,77.737234
Australia,1973,79.713984
Australia,1974,85.202656
Australia,1975,86.943056
Australia,1976,88.87032
Australia,1977,96.181878
Australia,1978,104.079584
Australia,1979,107.314896
Australia,1980,117.986168
Australia,1981,121.142832
Australia,1982,123.473136
Australia,1983,122.289664
Australia,1984,127.94688
Australia,1985,135.688912
Australia,1986,134.457808
Australia,1987,147.393838
Australia,1988,150.502464
Australia,1989,161.791248
Australia,1990,141.879819
Australia,1991,146.08284
Australia,1992,150.051381
Australia,1993,150.098575
Australia,1994,151.376241
Australia,1995,155.718942
Australia,1996,160.375191
Australia,1997,167.670194
Australia,1998,177.596365
Australia,1999,183.215379
Australia,2000,185.781229
Australia,2001,190.066589
Australia,2002,191.13103
Australia,2003,195.370417
Australia,2004,202.20981
Australia,2005,200.699756
Australia,2006,204.384919
Australia,2007,203.543107
Australia,2008,204.671475
Australia,2009,206.050385
Australia,2010,200.536242
Australia,2011,192.124544
Australia,2012,189.138286
Australia,2013,176.346996
Australia,2014,168.130343
Australia,2015,174.188664
Australia,2016,179.549565
Australia,2017,176.906195
Australia,2018,169.370489
Australia,2019,164.471156
Australia,2020,156.143134
Australia,2021,150.958384
China,1960,748.375664
China,1961,522.475408
China,1962,411.9252
China,1963,406.128498
China,1964,401.574106
China,1965,432.9932
China,1966,469.765473
China,1967,383.598816
China,1968,412.720288
China,1969,501.176576
China,1970,665.866048
China,1971,736.42428
China,1972,770.72177
China,1973,783.741289
China,1974,776.101152
China,1975,906.63848
China,1976,910.389543
China,1977,998.608544
China,1978,1117.44672
China,1979,1147.547329
China,1980,1122.664256
China,1981,1125.00473
China,1982,1248.85608
China,1983,1321.84296
China,1984,1454.197632
China,1985,1584.511456
China,1986,1657.391354
China,1987,1770.268928
China,1988,1892.697824
China,1989,1920.239372
China,1990,1976.684032
China,1991,2049.920064
China,1992,2114.714976
China,1993,2228.745248
China,1994,2380.585832
China,1995,2569.753728
China,1996,2660.401088
China,1997,2609.55576
China,1998,2444.771024
China,1999,2580.992136
China,2000,2601.736784
China,2001,2637.654976
China,2002,3018.634032
China,2003,3601.712
China,2004,3835.288336
China,2005,4424.38992
China,2006,4905.374192
China,2007,5289.903664
China,2008,5729.473744
China,2009,6028.500112
China,2010,6568.793552
China,2011,7309.786256
China,2012,7464.806432
China,2013,7493.454393
China,2014,7425.066688
China,2015,7266.978828
China,2016,7071.403711
China,2017,7163.317856
China,2018,7316.399776
China,2019,7543.157408
China,2020,7605.716883
China,2021,7955.985419
Germany,1960,707.213807
Germany,1961,711.644605
Germany,1962,732.012868
Germany,1963,761.686976
Germany,1964,755.614921
Germany,1965,716.91656
Germany,1966,680.103307
Germany,1967,653.866448
Germany,1968,659.625046
Germany,1969,686.182928
Germany,1970,603.233632
Germany,1971,588.132211
Germany,1972,553.577158
Germany,1973,561.925696
Germany,1974,565.844227
Germany,1975,515.979136
Germany,1976,555.971762
Germany,1977,516.64778
Germany,1978,523.741263
Germany,1979,549.173108
Germany,1980,551.17552
Germany,1981,557.748736
Germany,1982,550.812784
Germany,1983,553.73832
Germany,1984,572.331456
Germany,1985,579.375692
Germany,1986,573.762079
Germany,1987,560.223918
Germany,1988,552.86096
Germany,1989,546.77872
Germany,1990,569.133933
Germany,1991,504.058363
Germany,1992,454.324533
Germany,1993,430.790061
Germany,1994,418.19707
Germany,1995,406.059831
Germany,1996,400.626928
Germany,1997,386.878583
Germany,1998,377.494523
Germany,1999,360.066312
Germany,2000,373.473132
Germany,2001,376.533195
Germany,2002,375.799127
Germany,2003,379.536724
Germany,2004,375.990449
Germany,2005,363.239675
Germany,2006,369.596095
Germany,2007,379.386987
Germany,2008,356.220854
Germany,2009,317.904574
Germany,2010,343.363951
Germany,2011,344.697883
Germany,2012,349.803212
Germany,2013,356.889616
Germany,2014,344.850129
Germany,2015,341.018336
Germany,2016,329.445089
Germany,2017,310.763015
Germany,2018,295.67355
Germany,2019,240.086494
Germany,2020,197.357678
Germany,2021,230.221049
India,1960,87.878107
India,1961,94.885431
India,1962,103.260517
India,1963,110.420304
India,1964,105.924388
India,1965,116.45623
India,1966,116.984062
India,1967,119.095736
India,1968,123.826282
India,1969,123.367865
India,1970,123.551135
India,1971,126.966668
India,1972,134.376967
India,1973,137.809075
India,1974,145.639174
India,1975,161.338182
India,1976,168.920623
India,1977,177.509864
India,1978,174.688774
India,1979,180.622676
India,1980,197.337053
India,1981,210.305446
India,1982,213.123221
India,1983,232.519456
India,1984,231.492925
India,1985,253.289252
India,1986,273.171658
India,1987,291.856287
India,1988,317.17204
India,1989,339.625896
India,1990,366.514068
India,1991,393.043111
India,1992,411.415002
India,1993,433.121813
India,1994,455.720366
India,1995,471.723186
India,1996,504.498913
India,1997,527.722798
India,1998,524.125992
India,1999,560.528326
India,2000,572.87681
India,2001,582.083456
India,2002,598.598121
India,2003,625.890755
India,2004,669.968548
India,2005,721.469674
India,2006,773.565357
India,2007,842.478182
India,2008,910.796506
India,2009,983.94822
India,2010,1015.983089
India,2011,1089.807084
India,2012,1244.606043
India,2013,1319.99865
India,2014,1447.354894
India,2015,1487.461399
India,2016,1529.990408
